School Year,RCDT Code,District Name,Enrollment Range,Enrollment Count,Salary Program,Month Salary Schedule Adopted,Signed Written Agreement,Local Affiliation,Meeting(s) Between School Board and Superintendent Based on Discussions With Teachers,Salary Program (Merit or Performance),Severance Pay,Early Retirement Program,Sick Leave Bank,Direct Reimbursement for Expenses,Leave with Pay,Sick Leave > 80 Days,Bachelor's Beginning Salary,Bachelor's Maximum Salary,Bachelor's Years to Max,Master's Beginning Salary,Master's Maximum Salary,Master's Years to Max,Master's 30-32+ Beginning Salary,Master's 30-32+ Maximum Salary,Master's 30-32+ Years to Max,Highest Scheduled Salary,Years to Highest Scheduled Salary,Education Level Required to Reach Highest Salary,Additional Hours Required to Reach Highest Salary,All Full-time Employees Eligible to Receive the Same Fringe Benefit Coverage,Teacher Retirement System Monies Included in Salary Schedule,Percentage of Board Paid TRS (Part D),Annual Dental Premium for Employee,Percentage of Employee Dental Paid by Employer,Annual Dental Premium for Family,Percentage of Family Dental Paid by Employer,Annual Disability Insurance Premium for Employee,Percentage of Employee Disability Insurance Paid by Employer,Annual Disability Insurance Premium for Family,Percentage of Family Disability Insurance Paid by Employer,Annual Hospitalization Insurance Premium for Employee,Percentage of Employee Hospitalization Insurance Paid by Employer,Annual Hospitalization Insurance Premium for Family,Percentage of Family Hospitalization Insurance Paid by Employer,Annual Life Insurance Premium for Employee,Percentage of Employee Life Insurance Paid by Employer,Annual Life Insurance Premium for Family,Percentage of Family Life Insurance Paid by Employer,Annual Prescription Insurance Premium for Employee,Percentage of Employee Prescription Insurance Paid by Employer,Annual Prescription Insurance Premium for Family,Percentage of Family Prescription Insurance Paid by Employer,Annual Vision Insurance Premium for Employee,Percentage of Employee Vision Insurance Paid by Employer,Annual Vision Insurance Premium for Family,Percentage of Family Vision Insurance Paid by Employer,Cafeteria Plan 1,Cafeteria Plan 2,Cafeteria Plan 3,Cafeteria Plan 4,CAFTERIA PLAN (1-4) MEMBER COST,CAFTERIA PLAN (1-4) MEMBER PERCENT PAID BY EMPLOYER,CAFTERIA PLAN (1-4) FAMILY COST,CAFTERIA PLAN (1-4) FAMILY PERCENT PAID BY EMPLOYER,OTHER BENEFIT TYPE 1,OTHER BENEFIT TYPE 2,OTHER BENEFIT TYPE 3,OTHER BENEFIT TYPE 4,OTHER BENEFITS (1-4) MEMBER COST,OTHER BENEFITS (1-4) MEMBER PERCENT PAID BY EMPLOYER,OTHER BENEFITS (1-4) FAMILY COST,OTHER BENEFITS (1-4) FAMILY PERCENT PAID BY EMPLOYER,EXPIRATION DATE OF CONTRACT,MASTERS 10TH YEAR SALARY,DOES CONTRACT CONTAIN FAIR SHARE PROVISION?,LONGEVITY PAY PROVIDED BY CONTRACT?,LONGEVITY BACHELORS MAXIMUM,YEARS TO LONGEVITY BACHELORS MAXIMUM,LONGEVITY MASTERS MAXIMUM,YEARS TO LONGEVITY MASTERS MAXIMUM,LONGEVITY MASTERS 30-32+ MAXIMUM ,YEARS TO LONGEVITY MASTERS 30-32+ MAXIMUM ,LONGEVITY HIGHEST SCHEDULED SALARY MAXIMUM,LONGEVITY HIGHEST YEAR SCHEDULED SALARY MAXIMUM,"DAYS PERSONAL, BUSINESS OR EMERGENCY LEAVE W/PAY",DAYS SICK LEAVE ACCUnlimitedMUnlimitedLATION BEYOND 180 DAYS
2019,7016145002,Arbor Park SD 145,"1,000-2,999",1470,Policy No Schedule,February,No,NULL,Yes,,,,Yes,Yes,Yes,Yes,"$36,100.00","$41,450.00",18,"$39,402.00","$44,802.00",18,"$41,902.00","$47,302.00",18,"$47,302.00",18,Master's,30,Yes,No,0,$434.00,100,"$1,413.00",75,$9.00,100,NULL,NULL,"$10,437.00",100,"$27,668.00",75,$33.00,100,NULL,NULL,NULL,NULL,NULL,NULL,$69.00,0,$203.00,0,,,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"$42,402.00",NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,340
2019,7016146004,CCSD 146,"1,000-2,999",2648,Salary Schedule,July,Yes,IFT-AFT,,,,,Yes,Yes,Yes,Yes,"$47,319.00","$62,437.00",15,"$50,676.00","$93,628.00",32,"$54,183.00","$100,111.00",32,"$103,945.00",32,Master's,45,Yes,No,0,$288.00,100,"$1,020.00",100,$0.00,0,$0.00,0,"$9,535.00",95,"$25,968.00",75,$28.00,100,$138.00,100,$0.00,95,$0.00,75,$0.00,0,$0.00,0,,,,,$0.00,0,$0.00,0,NULL,NULL,NULL,NULL,$0.00,0,$0.00,0,Jun-20,"$60,563.00",1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,U
2019,7016148002,Dolton SD 148,"1,000-2,999",2561,Salary Schedule,August,Yes,IEA-NEA,,,,,Yes,Yes,Yes,Yes,"$40,600.00","$67,188.00",19,"$45,136.00","$71,814.00",19,NULL,NULL,NULL,"$73,156.00",29,Master's,20,Yes,Yes,0,$369.00,100,$549.00,0,NULL,NULL,NULL,NULL,"$9,420.00",90,"$17,440.00",65,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Life Insurance,,,,"$3,500.00",100,"$3,500.00",100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Jun-20,"$60,934.00",1,1,"$68,969.00",23,"$73,231.00",24,NULL,NULL,"$81,826.00",30,2,360
2019,7016149002,Dolton SD 149,"1,000-2,999",3409,Salary Schedule,July,Yes,IEA-NEA,,,,Yes,Yes,Yes,Yes,Yes,"$44,336.00","$85,810.00",24,"$48,212.00","$105,023.00",28,"$52,683.00","$114,762.00",28,"$114,762.00",28,Master's,30,Yes,Yes,0,$462.00,85,"$2,044.00",55,$0.00,100,$0.00,100,"$10,585.00",85,"$24,982.00",55,NULL,100,NULL,100,NULL,85,NULL,55,NULL,NULL,NULL,NULL,,,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Jun-20,"$61,690.00",1,1,"$87,310.00",25,"$107,523.00",29,117262,29,"$118,262.00",32,2,U
2019,7016150002,South Holland SD 150,500-999,1000,Salary Schedule,August,Yes,IEA-NEA,,,,Yes,Yes,Yes,Yes,Yes,"$44,660.00","$52,250.00",18,"$46,900.00","$103,000.00",25,$0.00,$0.00,NULL,"$107,925.00",25,Master's,25,Yes,Yes,10.4,$570.00,25,NULL,NULL,NULL,NULL,NULL,NULL,"$8,757.00",45,"$28,340.00",55,$100.00,80,$20.00,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Oct-20,"$57,900.00",1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,340
2019,7016150061,Exc Children Have Opportunities,Under 500,NULL,Salary Schedule,September or later,Yes,IEA-NEA,,,,,Yes,Yes,Yes,Yes,"$46,492.00","$60,971.00",15,"$49,514.00","$93,627.00",26,"$52,536.00","$96,943.00",26,"$96,943.00",26,Master's,30,Yes,Yes,0,$305.00,100,$403.00,43,$423.00,0,NULL,0,"$11,773.00",90,"$19,426.00",55,$11.00,100,NULL,NULL,NULL,NULL,NULL,NULL,$97.00,0,$256.00,0,,,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Jul-21,"$56,226.00",1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,340
2019,7016151002,South Holland SD 151,"1,000-2,999",1685,Policy No Schedule,August,Yes,IEA-NEA,,,,,,Yes,Yes,Yes,"$43,698.00",NULL,NULL,"$46,359.00",NULL,NULL,"$49,183.00",NULL,NULL,$0.00,NULL,Master's,45,Yes,Yes,0.6,$369.00,0,$731.00,0,$0.00,0,$0.00,0,"$9,334.00",100,"$20,510.00",0,$50.00,100,$0.00,0,$0.00,100,$0.00,0,$0.00,0,$0.00,0,,,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Jul-20,NULL,1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,U
2019,7016152002,Harvey SD 152,"1,000-2,999",2524,Salary Schedule,September or later,Yes,IEA-NEA,,,,Yes,Yes,Yes,Yes,Yes,"$44,605.00","$48,789.00",10,"$49,177.00","$81,445.00",25,"$53,190.00","$87,470.00",25,"$87,470.00",25,Master's,30,Yes,Yes,5.8,$294.00,0,$785.00,0,NULL,NULL,NULL,NULL,"$7,382.00",92,"$18,752.00",66,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,$76.00,0,$120.00,0,,,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Jul-20,"$57,627.00",1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,U
2019,7016152502,Hazel Crest SD 152-5,"1,000-2,999",1168,Salary Schedule,September or later,Yes,IFT-AFT,,,,,Yes,Yes,Yes,Yes,"$41,495.00","$56,704.00",18,"$43,115.00","$76,264.00",28,"$43,720.00","$80,763.00",28,"$82,770.00",28,Master's,30,Yes,No,9.6,$456.00,100,$707.00,0,$0.00,0,$0.00,0,"$9,820.00",95,"$19,460.00",0,$46.00,100,$0.00,0,$0.00,0,$0.00,0,$77.00,0,$141.00,0,,,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Aug-19,"$48,989.00",1,1,"$70,665.00",29,"$77,814.00",29,94763,39,"$94,763.00",39,3,255
2019,7016153002,Homewood SD 153,"1,000-2,999",2073,Salary Schedule,April,Yes,IEA-NEA,,,,,Yes,Yes,Yes,Yes,"$40,389.00","$50,440.00",9,"$44,241.00","$76,164.00",22,"$46,935.00","$82,823.00",23,"$85,307.00",23,Master's,45,No,No,0,$430.00,0,$995.00,0,NULL,NULL,NULL,NULL,"$8,464.00",79,"$14,812.00",39,NULL,NULL,NULL,NULL,NULL,79,NULL,39,NULL,NULL,NULL,NULL,,,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Jun-22,"$55,251.00",1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,U
2019,7016154002,Thornton SD 154,Under 500,252,Salary Schedule,January or before,Yes,IEA-NEA,,,,,Yes,Yes,,Yes,"$36,000.00","$55,704.00",14,"$38,500.00","$58,204.00",14,"$40,000.00","$59,704.00",14,"$59,704.00",14,Master's,30,Yes,No,0,$489.00,100,"$1,344.00",75,NULL,NULL,NULL,NULL,"$7,778.00",100,"$22,169.00",72,$107.00,100,NULL,NULL,NULL,NULL,NULL,NULL,$70.00,100,$197.00,75,,,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Jun-22,"$48,873.00",2,1,"$100,704.00",34,"$103,204.00",34,104704,34,"$104,704.00",34,NULL,220
2019,7016154502,Burnham SD 154-5,Under 500,208,Salary Schedule,September or later,Yes,IEA-NEA,Yes,,,,Yes,Yes,Yes,Yes,"$39,173.00","$76,805.00",35,"$42,698.00","$83,717.00",35,$0.00,$0.00,0,"$95,908.00",39,Master's,24,Yes,Yes,0,$532.00,50,$0.00,0,$0.00,0,$0.00,0,"$9,127.00",100,$0.00,0,$184.00,100,$0.00,0,$0.00,0,$0.00,0,$0.00,0,$0.00,0,,,,,$0.00,0,$0.00,0,NULL,NULL,NULL,NULL,$162.00,100,$0.00,0,Jun-19,"$51,028.00",2,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,U
2019,7016155002,Calumet City SD 155,"1,000-2,999",1345,Salary Schedule,September or later,Yes,IEA-NEA,,,,,Yes,Yes,Yes,Yes,"$39,136.00","$65,760.00",22,"$39,777.00","$68,044.00",22,NULL,NULL,NULL,"$68,609.00",22,Master's,20,Yes,No,0,$60.00,100,NULL,NULL,$84.00,100,NULL,NULL,"$8,353.00",89,"$16,242.00",88,$315.00,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Aug-23,"$50,282.00",1,1,"$93,758.00",34,"$94,189.00",34,NULL,NULL,"$94,189.00",34,3,360
2019,7016156002,Lincoln ESD 156,"1,000-2,999",1156,Salary Schedule,August,Yes,IFT-AFT,,,,,Yes,Yes,Yes,Yes,"$42,683.00","$62,815.00",18,"$50,536.00","$82,316.00",23,"$53,956.00","$89,792.00",25,"$89,792.00",25,Master's,30,Yes,Yes,5.3,$389.00,100,$573.00,38,NULL,NULL,NULL,NULL,"$9,362.00",100,"$12,617.00",38,$28.00,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Aug-21,"$62,766.00",2,1,"$64,404.00",19,"$84,745.00",24,93114,26,"$93,114.00",26,2,340
2019,7016157002,Hoover-Schrum Memorial SD 157,500-999,990,Salary Schedule,July,Yes,IFT-AFT,,,Yes,,Yes,Yes,Yes,Yes,"$40,000.00","$53,032.00",16,"$42,000.00","$85,949.00",25,"$43,000.00","$87,289.00",25,"$87,289.00",30,Master's,30,Yes,No,0,$65.00,80,$165.00,95,NULL,NULL,NULL,NULL,$318.00,95,$638.00,59,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,$14.00,80,$31.00,95,,,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Jun-21,"$58,395.00",1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,U
2019,7016158002,Lansing SD 158,"1,000-2,999",2912,Policy No Schedule,May,Yes,IEA-NEA,,,,,Yes,Yes,Yes,Yes,"$43,885.00","$57,874.00",13,"$47,734.00","$83,918.00",20,"$50,234.00","$94,195.00",20,"$94,195.00",20,Master's,30,Yes,Yes,9,$456.00,72,$949.00,34,NULL,NULL,NULL,NULL,"$9,961.00",96,"$13,105.00",96,$65.00,100,NULL,NULL,NULL,96,NULL,96,NULL,96,NULL,96,,,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Jun-22,"$57,880.00",1,1,"$59,321.00",24,NULL,NULL,102675,27,"$102,675.00",27,2,U
2019,7016159002,ESD 159,"1,000-2,999",2313,Salary Schedule,July,Yes,IEA-NEA,,,,,Yes,,Yes,Yes,"$35,945.00","$96,786.00",40,"$38,978.00","$104,840.00",40,NULL,NULL,NULL,"$110,577.00",40,Master's,20,Yes,Yes,0,$302.00,93,$972.00,93,$78.00,100,$0.00,0,"$7,654.00",93,"$13,201.00",93,$74.00,100,$0.00,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Jun-21,"$49,337.00",1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,240
2019,7016160002,Country Club Hills SD 160,"1,000-2,999",1429,Salary Schedule,May,Yes,IEA-NEA,,,,,,Yes,Yes,Yes,"$37,344.00","$55,564.00",16,"$40,468.00","$70,647.00",22,"$42,129.00","$77,572.00",24,"$77,572.00",24,Master's,24,Yes,No,9.9,$389.00,100,$842.00,65,NULL,NULL,NULL,NULL,"$7,745.00",100,"$16,249.00",65,$23.00,100,NULL,NULL,NULL,NULL,NULL,NULL,$73.00,0,$214.00,0,,,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Jul-19,"$51,316.00",1,1,NULL,NULL,NULL,NULL,79899,25,"$79,899.00",25,3,U
2019,7016161002,Flossmoor SD 161,"1,000-2,999",2481,Salary Schedule,September or later,Yes,IEA-NEA,,,,,Yes,Yes,Yes,Yes,"$40,937.00","$69,013.00",21,"$44,520.00","$85,509.00",26,"$45,570.00","$86,559.00",26,"$87,189.00",26,Master's,48,Yes,Yes,0,$484.00,55,$870.00,17,$165.00,100,NULL,NULL,"$9,948.00",85,"$15,876.00",31,$122.00,100,NULL,NULL,NULL,85,NULL,31,NULL,NULL,NULL,NULL,,,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Aug-20,"$56,358.00",1,1,"$70,020.00",22,"$86,608.00",27,87858,27,"$88,488.00",27,3,U
2019,7016162002,Matteson ESD 162,"3,000-5,999",3153,Salary Schedule,July,Yes,IEA-NEA,,,,,Yes,Yes,Yes,Yes,"$42,345.00","$74,378.00",22,"$46,560.00","$81,478.00",22,$0.00,$0.00,NULL,"$81,478.00",22,Master's,0,Yes,Yes,0,$477.00,75,$931.00,25,$199.00,100,$0.00,0,"$10,541.00",75,"$9,953.00",72,$19.00,100,$0.00,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Jun-20,"$54,175.00",1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,U
2019,7016163002,Park Forest SD 163,"1,000-2,999",2177,Policy No Schedule,August,Yes,IFT-AFT,,,,,,Yes,Yes,Yes,"$42,000.00","$74,976.00",17,"$44,100.00","$85,697.00",18,"$55,266.00","$101,336.00",19,"$101,336.00",19,Master's,30,Yes,No,0,$514.00,30,"$1,063.00",15,NULL,NULL,NULL,NULL,"$10,803.00",75,"$19,116.00",21,$75.00,100,NULL,NULL,NULL,75,NULL,21,NULL,NULL,NULL,NULL,,,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Aug-20,"$63,374.00",1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,U
2019,7016167002,Brookwood SD 167,"1,000-2,999",1282,Salary Schedule,January or before,Yes,IEA-NEA,,,,,,Yes,Yes,Yes,"$40,617.00","$59,282.00",19,"$42,464.00","$85,367.00",34,"$43,696.00","$87,501.00",34,"$87,501.00",34,Master's,30,Yes,Yes,0,$392.00,75,$797.00,0,$0.00,0,$0.00,0,"$7,825.00",90,"$17,216.00",80,$69.00,100,$0.00,0,$0.00,0,$0.00,0,$157.00,0,$180.00,0,,,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Jun-20,"$49,196.00",1,1,"$60,282.00",24,"$86,867.00",39,89001,39,"$89,001.00",39,16,350
2019,7016168004,CCSD 168,"1,000-2,999",1804,Salary Schedule,August,Yes,IEA-NEA,,,,,Yes,Yes,Yes,Yes,"$41,504.00","$58,655.00",18,"$45,456.00","$87,642.00",30,"$48,664.00","$105,335.00",37,"$105,335.00",37,Master's,30,Yes,No,0,$344.00,100,"$1,222.00",41,$0.00,0,$0.00,0,"$7,545.00",93,"$32,973.00",21,$69.00,100,$0.00,0,NULL,93,NULL,21,$122.00,0,$268.00,0,,,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Jul-21,"$55,853.00",2,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,340
2019,7016169002,Ford Heights SD 169,Under 500,481,Salary Schedule,September or later,Yes,IEA-NEA,,,,,Yes,Yes,Yes,Yes,"$38,577.00","$61,672.00",20,"$40,938.00","$65,446.00",20,"$42,594.00","$68,093.00",20,"$68,093.00",20,Master's,30,Yes,No,0,$182.00,0,$402.00,0,NULL,NULL,NULL,NULL,"$6,573.00",5,"$14,678.00",0,$164.00,100,$0.00,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,"$5,587.00",85,$0.00,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Jun-19,"$51,126.00",1,1,"$80,855.00",22,"$85,336.00",22,88793,22,"$88,793.00",22,3,340
2019,7016171002,Sunnybrook SD 171,"1,000-2,999",1112,Salary Schedule,January or before,Yes,IEA-NEA,,,,,Yes,Yes,Yes,Yes,"$39,700.00","$50,735.00",14,"$41,700.00","$70,509.00",26,NULL,NULL,NULL,"$78,642.00",29,Master's,9,Yes,No,0,$476.00,100,"$1,293.00",45,$0.00,0,$0.00,0,"$10,820.00",95,"$28,048.00",77,$17.00,100,$0.00,0,$0.00,0,$0.00,0,$115.00,100,$306.00,41,,,,,NULL,NULL,NULL,NULL,7,NULL,NULL,NULL,"$1,500.00",100,NULL,NULL,Jun-20,"$46,338.00",1,1,"$83,135.00",34,"$85,908.00",34,0,0,"$86,806.00",34,3,U
2019,7016172002,Sandridge SD 172,Under 500,395,Salary Schedule,August,Yes,IEA-NEA,,Yes,,,,Yes,Yes,Yes,"$42,103.00","$82,763.00",38,"$44,765.00","$85,388.00",38,"$44,765.00","$85,388.00",38,"$85,388.00",38,Master's,0,Yes,No,0,$418.00,0,"$1,232.00",0,$0.00,0,$0.00,0,"$9,326.00",91,"$20,810.00",64,$40.00,100,$0.00,0,$0.00,0,$0.00,0,$54.00,0,$160.00,0,,,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Aug-19,"$54,434.00",1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,U
2019,7016194002,Steger SD 194,"1,000-2,999",1565,Policy No Schedule,August,Yes,IEA-NEA,,Yes,,,Yes,Yes,Yes,Yes,"$38,033.00",NULL,NULL,"$39,729.00",NULL,NULL,NULL,NULL,NULL,"$43,806.00",NULL,Master's,15,Yes,No,0,$447.00,0,$840.00,0,NULL,NULL,NULL,NULL,"$2,871.00",70,"$17,742.00",35,NULL,100,NULL,NULL,NULL,NULL,NULL,NULL,$74.00,0,$111.00,0,,,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Aug-19,NULL,1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,240
2019,7016205017,Thornton Twp HSD 205,"3,000-5,999",6023,Salary Schedule,January or before,Yes,IEA-NEA,,,,,Yes,Yes,Yes,Yes,"$51,000.00","$77,142.00",15,"$55,000.00","$107,568.00",26,"$59,000.00","$115,391.00",26,"$123,214.00",26,Master's,60,Yes,Yes,0,$436.00,100,"$1,232.00",75,$46.00,100,$0.00,0,"$7,679.00",85,"$20,734.00",85,$47.00,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,85,NULL,85,,,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Jul-23,"$71,763.00",1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,400
2019,7016206017,Bloom Twp HSD 206,"3,000-5,999",3696,Salary Schedule,September or later,Yes,IEA-NEA,,,Yes,Yes,Yes,Yes,Yes,Yes,"$48,801.00","$62,391.00",10,"$52,748.00","$96,439.00",20,"$57,131.00","$99,811.00",20,"$104,587.00",20,Doctor's,60,Yes,No,0,$371.00,100,$704.00,0,$0.00,0,$0.00,0,"$9,960.00",80,"$28,380.00",79,$65.00,100,$0.00,0,$0.00,0,$0.00,0,$66.00,100,$173.00,0,,,,,$0.00,0,$0.00,0,NULL,NULL,NULL,NULL,$0.00,0,$0.00,0,Jun-20,"$67,080.00",1,1,"$68,886.00",30,"$102,934.00",30,106306,30,"$111,082.00",30,3,420
2019,7016210017,Lemont Twp HSD 210,"1,000-2,999",1430,Salary Schedule,July,Yes,IEA-NEA,,,,,,Yes,Yes,Yes,"$50,913.00","$82,911.00",19,"$57,903.00","$93,140.00",19,"$61,430.00","$97,625.00",19,"$103,368.00",19,Certificate of Advanced Study (or 6 Year Specialist Certificate),0,Yes,Yes,0,$624.00,100,$891.00,50,NULL,NULL,NULL,NULL,"$9,459.00",100,"$17,319.00",50,$36.00,100,NULL,NULL,NULL,NULL,NULL,NULL,$129.00,0,$276.00,0,,,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Jun-19,"$72,801.00",1,1,"$85,161.00",33,"$105,955.00",33,103037,33,"$126,359.00",33,2,U
2019,7016215017,Thornton Fractional Twp HSD 215,"3,000-5,999",3460,Salary Schedule,May,Yes,IFT-AFT,,,,,Yes,Yes,Yes,Yes,"$53,716.00","$94,003.00",13,"$59,343.00","$117,428.00",18,"$64,459.00","$123,142.00",18,"$125,997.00",18,Master's,45,Yes,No,0,$580.00,0,"$1,245.00",0,NULL,NULL,NULL,NULL,"$10,275.00",81,"$16,949.00",82,$84.00,100,NULL,NULL,NULL,NULL,NULL,NULL,$67.00,0,$119.00,0,,,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Aug-22,"$84,155.00",1,1,"$97,563.00",14,"$120,989.00",19,126703,19,"$129,559.00",19,3,U
2019,7016217016,Argo CHSD 217,"1,000-2,999",1981,Salary Schedule,July,Yes,IFT-AFT,,,,,Yes,,Yes,Yes,"$56,169.00","$64,410.00",10,"$59,967.00","$119,303.00",18,"$62,965.00","$122,460.00",18,"$125,616.00",18,Master's,60,Yes,Yes,0,$635.00,45,"$1,934.00",15,NULL,NULL,NULL,NULL,"$7,960.00",80,"$27,299.00",80,$101.00,100,$0.00,0,NULL,80,NULL,80,$98.00,0,$258.00,0,,,,,"$4,500.00",100,"$4,500.00",100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Jun-20,"$91,529.00",1,1,NULL,NULL,"$134,644.00",38,137801,38,"$140,957.00",38,U,U
2019,7016218016,CHSD 218,"3,000-5,999",6275,Salary Schedule,August,Yes,IEA-NEA,,,,,Yes,,Yes,Yes,"$49,975.00","$69,965.00",11,"$54,973.00","$105,347.00",22,"$58,721.00","$119,590.00",22,"$122,089.00",22,Master's,45,Yes,No,0,$459.00,100,"$1,166.00",0,$100.00,100,NULL,NULL,"$6,805.00",80,"$9,387.00",80,$184.00,100,NULL,NULL,NULL,80,NULL,80,$60.00,0,$153.00,0,,,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Jul-20,"$76,562.00",1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,355
2019,7016220017,Reavis Twp HSD 220,"1,000-2,999",1861,Policy No Schedule,May,Yes,IFT-AFT,,,,,,,Yes,Yes,"$50,000.00",NULL,NULL,"$57,000.00",NULL,NULL,"$60,000.00",NULL,NULL,"$64,000.00",NULL,Doctor's,75,Yes,Yes,0,$682.00,88,"$1,442.00",88,NULL,NULL,NULL,NULL,"$8,686.00",88,"$17,817.00",88,$21.00,100,$21.00,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Jun-20,NULL,1,1,"$4,100.00",31,"$4,100.00",31,4100,31,"$68,100.00",31,3,U
2019,7016227017,Rich Twp HSD 227,"3,000-5,999",3469,Salary Schedule,August,Yes,IEA-NEA,,,,,Yes,,Yes,Yes,"$49,591.00","$71,353.00",14,"$50,982.00","$97,793.00",24,"$52,498.00","$100,469.00",24,"$103,308.00",24,Doctor's,0,Yes,Yes,0,$313.00,90,"$1,035.00",90,$0.00,0,$0.00,0,"$8,442.00",90,"$18,248.00",90,$42.00,100,$0.00,0,$0.00,90,$0.00,90,$80.00,0,$194.00,0,,,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Jun-19,"$68,517.00",1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,U
